OCC_CODE	OCC_TITLE	EDUCATIONLEVELID
15-2041	Statisticians	MSTR
15-2091	Mathematical Technicians	BACH
15-2099	Mathematical Science Occupations All Other	BACH
17-0000	Architecture and Engineering Occupations	UNDT
17-1011	Architects Except Landscape and Naval	BACH
17-1012	Landscape Architects	BACH
17-1021	Cartographers and Photogrammetrists	BACH
17-1022	Surveyors	BACH
17-2011	Aerospace Engineers	BACH
17-2021	Agricultural Engineers	BACH
17-2031	Biomedical Engineers	BACH
17-2041	Chemical Engineers	BACH
17-2051	Civil Engineers	BACH
17-2061	Computer Hardware Engineers	BACH
17-2071	Electrical Engineers	BACH
17-2072	Electronics Engineers Except Computer	BACH
17-2081	Environmental Engineers	BACH
17-2111	Health and Safety Engineers Except Mining Safety Engineers and Inspectors	BACH
17-2112	Industrial Engineers	BACH
17-2121	Marine Engineers and Naval Architects	BACH
17-2131	Materials Engineers	BACH
17-2141	Mechanical Engineers	BACH
17-2151	Mining and Geological Engineers Including Mining Safety Engineers	BACH
17-2161	Nuclear Engineers	BACH
17-2171	Petroleum Engineers	BACH
17-2199	Engineers All Other	BACH
17-3011	Architectural and Civil Drafters	ASSC
17-3012	Electrical and Electronics Drafters	ASSC
17-3013	Mechanical Drafters	ASSC
17-3019	Drafters All Other	ASSC
17-3021	Aerospace Engineering and Operations Technicians	ASSC
17-3022	Civil Engineering Technicians	ASSC
17-3023	Electrical and Electronics Engineering Technicians	ASSC
17-3024	Electro-Mechanical Technicians	ASSC
17-3025	Environmental Engineering Technicians	ASSC
17-3026	Industrial Engineering Technicians	ASSC
17-3027	Mechanical Engineering Technicians	ASSC
17-3029	Engineering Technicians Except Drafters All Other	ASSC
17-3031	Surveying and Mapping Technicians	HIGH
19-0000	Life Physical and Social Science Occupations	UNDT
19-1011	Animal Scientists	BACH
19-1012	Food Scientists and Technologists	BACH
19-1013	Soil and Plant Scientists	BACH
19-1021	Biochemists and Biophysicists	DCTR
19-1022	Microbiologists	BACH
19-1023	Zoologists and Wildlife Biologists	BACH
19-1029	Biological Scientists All Other	BACH
19-1031	Conservation Scientists	BACH
19-1032	Foresters	BACH
19-1041	Epidemiologists	MSTR
19-1042	Medical Scientists Except Epidemiologists	DCTR
19-1099	Life Scientists All Other	BACH
19-2011	Astronomers	DCTR
19-2012	Physicists	DCTR
19-2021	Atmospheric and Space Scientists	BACH
19-2031	Chemists	BACH
19-2032	Materials Scientists	BACH
19-2041	Environmental Scientists and Specialists Including Health	BACH
19-2042	Geoscientists Except Hydrologists and Geographers	BACH
19-2043	Hydrologists	BACH
19-2099	Physical Scientists All Other	BACH
19-3011	Economists	MSTR
19-3022	Survey Researchers	MSTR
19-3031	Clinical Counseling and School Psychologists	DCTR
19-3032	Industrial-Organizational Psychologists	MSTR
19-3039	Psychologists All Other	MSTR
19-3041	Sociologists	MSTR
19-3051	Urban and Regional Planners	MSTR
19-3091	Anthropologists and Archeologists	MSTR
19-3092	Geographers	BACH
19-3093	Historians	MSTR
19-3094	Political Scientists	MSTR
19-3099	Social Scientists and Related Workers All Other	BACH
19-4011	Agricultural and Food Science Technicians	ASSC
19-4021	Biological Technicians	BACH
19-4031	Chemical Technicians	ASSC
19-4041	Geological and Petroleum Technicians	ASSC
19-4051	Nuclear Technicians	ASSC
19-4061	Social Science Research Assistants	BACH
19-4091	Environmental Science and Protection Technicians Including Health	ASSC
19-4092	Forensic Science Technicians	BACH
19-4093	Forest and Conservation Technicians	ASSC
19-4099	Life Physical and Social Science Technicians All Other	ASSC
21-0000	Community and Social Service Occupations	UNDT
21-1011	Substance Abuse and Behavioral Disorder Counselors	BACH
21-1012	Educational Guidance School and Vocational Counselors	MSTR
21-1013	Marriage and Family Therapists	MSTR
21-1014	Mental Health Counselors	MSTR
21-1015	Rehabilitation Counselors	MSTR
21-1019	Counselors All Other	MSTR
21-1021	Child Family and School Social Workers	BACH
21-1022	Healthcare Social Workers	MSTR
21-1023	Mental Health and Substance Abuse Social Workers	MSTR
21-1029	Social Workers All Other	BACH
21-1091	Health Educators	BACH
21-1092	Probation Officers and Correctional Treatment Specialists	BACH
21-1093	Social and Human Service Assistants	HIGH
21-1094	Community Health Workers	HIGH
21-1099	Community and Social Service Specialists All Other	BACH
21-2011	Clergy	BACH
21-2021	Directors Religious Activities and Education	BACH
21-2099	Religious Workers All Other	BACH
23-0000	Legal Occupations	UNDT
23-1011	Lawyers	DCTR
23-1012	Judicial Law Clerks	DCTR
23-1021	Administrative Law Judges Adjudicators and Hearing Officers	DCTR
23-1022	Arbitrators Mediators and Conciliators	BACH
23-1023	Judges Magistrate Judges and Magistrates	DCTR
23-2011	Paralegals and Legal Assistants	ASSC
23-2091	Court Reporters	SCND
23-2093	Title Examiners Abstractors and Searchers	HIGH
